Señal_0;Señal_1;Target
17,82;0,64;Estable
0,00;0,80;Estable
0,02;0,84;Alarma
0,00;0,99;Estable
0,98;0,71;Alerta
0,00;0,87;Estable
0,01;0,77;Alerta
0,00;0,83;Estable
0,00;0,96;Alerta
0,00;0,90;Estable
18,89;0,89;Alarma
0,00;0,85;Estable
0,00;0,75;Estable
13,13;0,99;Alarma
0,00;0,76;Alerta
0,02;0,98;Alarma
0,01;0,96;Alerta
0,02;0,66;Alerta
0,01;0,68;Alerta
0,01;0,72;Alerta
0,00;0,88;Estable
0,22;0,31;Estable
-1,25;0,95;Estable
0,05;0,70;Alerta
0,00;0,39;Estable
0,21;0,90;Alarma
0,01;0,82;Alerta
14,63;0,82;Alarma
0,02;0,90;Alerta
15,17;0,48;Estable
0,02;0,78;Alerta
0,00;0,22;Estable
0,00;0,90;Estable
16,54;0,79;Alerta
9,73;0,23;Estable
0,00;0,74;Estable
0,00;0,64;Estable
0,00;0,80;Alerta
0,00;0,65;Estable
0,00;0,84;Estable
0,02;0,35;Estable
2,54;0,91;Alarma
0,02;0,97;Alerta
0,01;0,92;Alerta
0,01;0,67;Alerta
0,00;0,69;Alerta
3,60;0,33;Estable
0,00;0,69;Estable
0,01;0,58;Estable
12,36;0,12;Estable
0,02;0,93;Alarma
0,00;0,70;Estable
13,81;0,36;Estable
0,00;0,53;Estable
0,00;0,45;Estable
10,60;0,56;Estable
0,00;0,48;Estable
0,00;0,95;Estable
0,00;0,86;Estable
0,87;0,76;Alerta
0,02;0,89;Alerta
0,02;0,08;Estable
0,00;0,79;Estable
9,24;0,65;Estable
0,00;0,77;Estable
21,57;0,68;Alerta
0,06;0,98;Alarma
9,70;0,85;Alarma
-2,44;0,81;Estable
0,00;0,73;Estable
0,82;0,87;Alarma
0,02;0,68;Alerta
8,06;0,69;Alerta
0,00;0,66;Estable
0,00;0,71;Alerta
-3,81;0,98;Estable
0,00;0,66;Alerta
0,00;0,47;Estable
-22,43;0,71;Estable
-18,66;0,88;Estable
0,00;0,99;Estable
0,00;0,75;Estable
0,98;0,45;Estable
0,02;0,70;Alerta
0,01;0,99;Alerta
0,01;0,63;Estable
0,00;0,42;Estable
0,00;0,82;Alerta
0,00;0,66;Estable
0,00;0,90;Estable
0,02;0,76;Alerta
0,00;1,00;Estable
-10,87;0,74;Estable
0,09;0,87;Alarma
0,00;0,81;Estable
0,02;0,67;Alerta
0,02;0,76;Alerta
0,00;0,87;Estable
0,02;0,87;Alarma
0,02;0,31;Estable
0,02;0,74;Alerta
13,13;0,45;Estable
0,00;0,82;Estable
0,01;0,50;Estable
0,02;0,99;Alarma
0,00;0,68;Estable
0,00;0,78;Estable
0,00;0,05;Estable
-20,98;0,70;Estable
0,00;0,85;Estable
0,02;0,85;Alarma
0,94;0,67;Alerta
17,13;0,64;Estable
0,63;0,28;Estable
-15,45;0,64;Estable
0,02;0,87;Alerta
0,36;0,86;Alarma
0,00;0,13;Estable
0,02;0,78;Alerta
0,01;0,45;Estable
0,01;0,95;Alerta
0,00;0,97;Estable
0,02;0,66;Alerta
0,01;0,60;Estable
0,29;0,78;Alerta
0,00;0,99;Estable
0,00;0,73;Alerta
16,19;0,09;Estable
0,00;0,93;Estable
0,02;0,84;Alerta
16,86;0,72;Alerta
17,45;0,94;Alarma
0,40;0,99;Alarma
0,02;0,86;Alarma
0,00;0,86;Estable
0,00;0,45;Estable
-15,04;0,97;Estable
0,01;0,73;Alerta
0,00;0,24;Estable
6,52;0,92;Alarma
4,33;0,84;Alarma
0,24;0,98;Alarma
0,01;0,47;Estable
19,97;0,65;Estable
0,02;0,83;Alarma
0,02;0,70;Alerta
-16,39;0,64;Estable
0,40;0,98;Alarma
0,58;0,95;Alarma
0,02;0,85;Alerta
13,06;0,78;Alerta
0,00;0,82;Estable
0,00;0,96;Estable
0,01;0,61;Estable
0,00;0,64;Estable
0,02;0,61;Estable
0,02;0,52;Estable
0,00;0,15;Estable
13,69;0,27;Estable
-1,88;0,39;Estable
-7,20;0,70;Estable
0,00;0,90;Alerta
0,01;0,72;Alerta
0,57;0,25;Estable
0,01;0,99;Alerta
0,16;0,58;Estable
0,15;0,78;Alerta
0,00;0,82;Estable
0,02;0,89;Alarma
0,02;0,73;Alerta
0,02;0,99;Alarma
14,71;0,70;Alerta
0,00;0,79;Estable
0,00;0,93;Estable
17,25;0,64;Estable
0,02;0,77;Alerta
0,55;0,90;Alarma
0,00;0,95;Estable
0,23;0,74;Alerta
0,02;0,73;Alerta
0,00;0,36;Estable
0,00;0,95;Alerta
0,00;0,82;Estable
0,02;0,67;Alerta
0,02;0,81;Alerta
0,02;0,95;Alerta
0,06;0,89;Alarma
23,72;0,83;Alarma
12,76;0,14;Estable
0,01;0,13;Estable
16,11;0,80;Alarma
0,00;0,79;Alerta
0,02;0,90;Alerta
0,01;0,02;Estable
0,00;0,21;Estable
0,01;0,81;Alerta
0,00;0,13;Estable
0,50;0,42;Estable
0,00;0,90;Estable
0,00;0,64;Estable
0,00;0,74;Estable
-12,04;0,85;Estable
0,01;0,98;Alerta
0,02;0,41;Estable
14,63;0,62;Estable
0,00;0,66;Estable
0,00;0,74;Alerta
0,00;0,65;Alerta
0,00;0,27;Estable
0,00;0,72;Alerta
0,02;0,82;Alerta
0,00;0,92;Estable
0,01;0,81;Alerta
0,02;0,49;Estable
0,00;0,63;Estable
-6,31;0,30;Estable
0,01;0,74;Alerta
0,01;0,68;Alerta
0,01;0,42;Estable
0,02;0,78;Alerta
-1,85;0,75;Estable
0,01;0,61;Estable
0,00;0,95;Estable
0,00;0,92;Alerta
0,00;0,67;Estable
0,00;0,65;Alerta
0,00;0,83;Alerta
0,01;0,67;Alerta
10,25;0,84;Alarma
0,00;0,25;Estable
0,00;0,78;Estable
0,31;0,64;Estable
-13,08;0,93;Estable
0,00;0,97;Estable
0,00;0,85;Estable
0,00;0,74;Estable
0,02;0,70;Alerta
22,09;0,48;Estable
15,68;0,64;Estable
0,00;0,99;Estable
-13,81;0,64;Estable
0,02;0,84;Alerta
0,00;0,83;Estable
0,00;0,87;Estable
0,00;0,77;Estable
-10,74;0,24;Estable
17,45;0,49;Estable
-24,65;0,27;Estable
0,01;0,45;Estable
0,01;0,02;Estable
-18,13;0,80;Estable
0,27;0,73;Alerta
0,01;0,65;Alerta
0,00;0,97;Estable
0,01;0,74;Alerta
0,59;0,73;Alerta
12,61;0,74;Alerta
0,01;1,00;Alerta
10,60;0,94;Alarma
-18,44;0,99;Estable
0,00;0,74;Estable
0,96;0,75;Alerta
0,00;0,94;Alerta
-0,31;0,99;Estable
0,00;0,89;Estable
5,47;0,87;Alarma
0,00;0,55;Estable
0,01;0,58;Estable
-24,32;0,23;Estable
0,02;0,66;Alerta
-14,24;0,71;Estable
0,95;0,93;Alarma
18,88;0,89;Alarma
0,02;0,82;Alarma
0,66;0,42;Estable
0,00;0,72;Estable
0,84;0,41;Estable
0,00;0,83;Alerta
0,01;0,72;Alerta
0,00;0,74;Estable
0,00;0,53;Estable
0,28;0,97;Alarma
0,02;0,65;Estable
0,05;0,70;Alerta
0,02;0,18;Estable
0,00;0,35;Estable
0,01;0,93;Alerta
0,01;0,65;Alerta
0,96;0,47;Estable
0,00;0,07;Estable
0,02;0,07;Estable
0,40;0,87;Alarma
0,02;0,43;Estable
0,00;0,78;Alerta
0,01;0,42;Estable
0,02;0,11;Estable
0,00;0,44;Estable
0,13;0,62;Estable
0,01;0,68;Alerta
0,40;0,61;Estable
0,02;0,84;Alarma
0,02;0,89;Alerta
-15,88;0,65;Estable
0,02;0,95;Alerta
0,02;0,24;Estable
11,63;0,85;Alarma
0,23;0,85;Alarma
0,01;0,79;Alerta
17,03;0,93;Alarma
0,00;0,73;Estable
0,02;0,57;Estable
0,01;0,82;Alerta
0,00;0,71;Alerta
0,01;0,99;Alerta
7,18;0,96;Alarma
9,33;0,33;Estable
0,02;0,27;Estable
0,00;0,23;Estable
0,00;0,64;Estable
0,00;0,99;Alerta
10,98;0,47;Estable
17,99;0,49;Estable
0,00;0,44;Estable
0,00;0,67;Estable
0,00;0,70;Estable
0,02;0,80;Alarma
0,02;0,76;Alerta
-20,80;0,41;Estable
4,77;0,87;Alarma
0,02;0,54;Estable
0,00;0,22;Estable
0,00;0,80;Estable
0,01;0,99;Alerta
0,01;0,39;Estable
0,01;0,81;Alerta
0,00;0,64;Estable
0,00;0,72;Estable
14,16;0,17;Estable
0,01;0,91;Alerta
0,85;0,76;Alerta
0,00;0,26;Estable
0,00;0,82;Estable
0,00;0,29;Estable
0,00;0,69;Estable
0,00;0,58;Estable
8,06;0,40;Estable
0,01;0,17;Estable
0,00;0,72;Estable
0,01;0,74;Alerta
0,02;0,81;Alerta
13,74;0,87;Alarma
0,00;0,77;Estable
0,00;0,24;Estable
0,00;0,82;Estable
0,00;0,76;Alerta
0,00;0,95;Estable
0,00;0,61;Estable
0,96;0,79;Alerta
0,09;0,34;Estable
0,00;0,79;Estable
1,60;0,92;Alarma
0,00;0,68;Estable
0,00;0,73;Alerta
1,82;0,62;Estable
0,00;0,77;Estable
0,26;0,73;Alerta
15,10;0,23;Estable
0,02;0,83;Alarma
-8,86;0,99;Estable
19,89;0,93;Alarma
0,00;0,29;Estable
0,02;0,81;Alerta
0,95;0,69;Alerta
0,37;0,78;Alerta
0,00;0,83;Estable
0,02;0,73;Alerta
0,02;0,61;Estable
0,02;0,40;Estable
0,09;0,71;Alerta
0,00;0,65;Alerta
0,00;0,79;Alerta
0,00;0,68;Estable
14,98;0,88;Alarma
0,01;0,12;Estable
0,00;0,62;Estable
0,00;0,94;Estable
17,81;0,22;Estable
0,02;0,70;Alerta
0,29;0,62;Estable
0,11;0,23;Estable
0,01;0,81;Alerta
0,02;0,78;Alerta
0,01;0,86;Alerta
0,01;0,03;Estable
0,00;0,92;Alerta
0,00;0,80;Estable
0,00;0,14;Estable
0,00;0,93;Estable
0,01;0,90;Alerta
0,00;0,10;Estable
7,05;0,25;Estable
0,00;0,37;Estable
0,00;0,88;Estable
0,00;0,35;Estable
0,73;0,71;Alerta
0,00;0,95;Estable
0,02;0,30;Estable
-1,09;0,62;Estable
0,01;0,32;Estable
0,02;0,22;Estable
0,01;0,79;Alerta
0,71;0,68;Alerta
0,81;0,68;Alerta
0,00;0,64;Estable
0,00;0,67;Estable
0,02;0,81;Alarma
5,62;0,12;Estable
0,01;0,24;Estable
0,02;0,74;Alerta
0,97;0,82;Alarma
0,02;0,57;Estable
0,00;0,27;Estable
0,00;0,71;Estable
0,00;0,65;Estable
0,00;0,78;Estable
0,00;0,45;Estable
-9,04;0,93;Estable
0,00;0,16;Estable
0,00;0,65;Estable
0,01;0,91;Alerta
0,01;0,39;Estable
0,01;0,52;Estable
-20,63;0,49;Estable
0,00;0,76;Alerta
0,00;0,32;Estable
0,00;0,60;Estable
11,92;0,99;Alarma
-4,61;0,86;Estable
-3,94;0,96;Estable
0,00;0,91;Estable
0,00;0,72;Estable
0,02;0,12;Estable
0,00;0,41;Estable
0,34;0,37;Estable
13,72;0,66;Alerta
0,00;0,87;Alerta
0,02;0,45;Estable
0,93;0,55;Estable
0,00;0,44;Estable
0,00;0,71;Estable
0,20;0,12;Estable
0,02;0,67;Alerta
4,57;0,62;Estable
0,02;0,88;Alerta
0,00;0,04;Estable
0,00;0,81;Estable
0,00;1,00;Estable
0,02;0,64;Estable
0,02;0,88;Alarma
0,02;0,59;Estable
0,01;0,90;Alerta
15,71;0,93;Alarma
0,00;0,68;Alerta
0,02;0,98;Alerta
0,99;0,33;Estable
0,02;0,74;Alerta
0,00;0,64;Estable
0,00;0,71;Alerta
0,69;0,53;Estable
0,00;0,70;Estable
0,00;0,95;Alerta
-2,44;0,39;Estable
0,00;0,95;Alerta
0,29;0,68;Alerta
0,00;0,92;Estable
0,00;0,79;Alerta
0,40;0,45;Estable
0,00;0,98;Estable
-11,01;0,12;Estable
0,53;0,12;Estable
0,00;0,26;Estable
0,00;0,84;Estable
16,59;0,92;Alarma
0,00;0,86;Alerta
0,00;0,69;Estable
0,01;0,79;Alerta
0,00;0,18;Estable
0,00;0,87;Estable
0,00;0,46;Estable
0,00;0,91;Alerta
0,00;0,94;Estable
0,00;0,66;Alerta
0,00;0,20;Estable
0,02;0,84;Alerta
0,01;0,11;Estable
0,44;0,59;Estable
0,02;0,45;Estable
0,02;0,76;Alerta
0,00;0,76;Estable
1,00;0,70;Alerta
0,01;0,94;Alerta
12,19;0,50;Estable
0,73;0,57;Estable
-13,45;0,98;Estable
0,79;0,28;Estable
0,02;0,85;Alarma
0,00;0,83;Estable
0,01;0,64;Estable
0,58;0,65;Alerta
0,99;0,76;Alerta
0,02;0,33;Estable
0,02;0,41;Estable
0,02;0,85;Alarma
0,02;0,88;Alerta
0,01;0,79;Alerta
0,01;0,21;Estable
0,00;1,00;Alerta
0,83;0,84;Alarma
0,01;0,86;Alerta
0,01;0,86;Alerta
-18,03;0,35;Estable
0,02;0,86;Alerta
0,88;0,30;Estable
0,02;0,22;Estable
0,02;0,78;Alerta
0,00;0,48;Estable
0,02;0,85;Alerta
11,15;0,48;Estable
15,29;0,65;Alerta
0,00;0,86;Estable
0,00;0,71;Estable
0,00;0,65;Estable
0,33;0,66;Alerta
0,02;0,71;Alerta
0,05;0,70;Alerta
-1,18;0,71;Estable
0,00;0,63;Estable
0,00;0,70;Estable
0,00;0,35;Estable
0,00;0,65;Alerta
0,34;0,80;Alerta
0,00;0,68;Alerta
0,00;0,85;Alerta
0,01;0,02;Estable
9,27;0,91;Alarma
0,02;0,40;Estable
0,01;0,08;Estable
0,00;0,69;Estable
0,43;0,75;Alerta
0,00;0,41;Estable
0,00;0,13;Estable
15,61;0,90;Alarma
0,00;0,59;Estable
0,01;0,04;Estable
0,00;0,27;Estable
0,00;0,92;Estable
14,84;0,37;Estable
0,00;0,28;Estable
-16,28;0,86;Estable
0,00;0,90;Alerta
9,56;0,94;Alarma
-7,71;0,86;Estable
15,31;0,78;Alerta
0,00;0,68;Estable
0,61;0,24;Estable
0,01;0,80;Alerta
0,01;0,69;Alerta
0,02;0,58;Estable
10,30;0,64;Estable
0,00;0,95;Alerta
0,00;0,64;Estable
0,00;0,67;Alerta
7,46;0,92;Alarma
0,02;0,85;Alerta
0,02;0,53;Estable
0,01;0,72;Alerta
0,02;0,28;Estable
0,02;0,90;Alerta
0,02;0,78;Alerta
0,37;0,36;Estable
0,00;0,95;Alerta
0,01;0,70;Alerta
0,29;0,84;Alarma
-5,98;0,36;Estable
0,00;1,00;Alerta
0,00;0,67;Alerta
0,01;0,42;Estable
9,24;0,90;Alarma
0,00;0,66;Alerta
0,69;0,74;Alerta
0,45;0,73;Alerta
0,01;0,74;Alerta
0,02;0,78;Alerta
0,00;0,13;Estable
0,00;0,77;Alerta
0,01;0,73;Alerta
0,00;0,83;Estable
0,00;0,72;Estable
16,25;0,66;Alerta
10,19;0,88;Alarma
0,11;0,68;Alerta
0,00;0,41;Estable
0,00;0,84;Alerta
0,01;0,67;Alerta
0,00;0,94;Alerta
0,02;0,56;Estable
0,00;0,42;Estable
0,02;0,98;Alerta
0,02;0,55;Estable
15,08;0,59;Estable
0,01;0,54;Estable
0,01;0,20;Estable
0,02;0,82;Alarma
0,00;0,97;Estable
0,23;0,64;Estable
0,00;0,99;Estable
0,02;0,74;Alerta
0,00;0,34;Estable
0,72;0,28;Estable
0,00;0,70;Estable
-18,46;0,76;Estable
0,00;0,70;Estable
0,00;0,43;Estable
0,01;0,82;Alerta
-2,52;0,95;Estable
0,00;0,54;Estable
0,01;0,37;Estable
13,60;0,42;Estable
15,66;0,26;Estable
0,00;0,50;Estable
0,02;0,95;Alarma
0,00;0,93;Alerta
0,00;0,81;Alerta
0,02;0,69;Alerta
18,48;0,27;Estable
0,00;0,84;Estable
0,91;0,58;Estable
0,00;0,69;Estable
0,00;0,76;Estable
0,00;0,68;Estable
0,01;0,97;Alerta
-10,89;0,65;Estable
-13,23;0,98;Estable
0,01;0,95;Alerta
0,02;0,57;Estable
0,01;0,07;Estable
0,00;0,92;Estable
14,93;0,82;Alarma
0,00;0,65;Estable
0,00;0,71;Estable
0,00;0,43;Estable
-15,21;0,32;Estable
11,56;0,13;Estable
0,02;0,75;Alerta
0,00;0,94;Alerta
0,01;0,23;Estable
17,82;0,94;Alarma
0,02;0,97;Alarma
0,01;0,99;Alerta
0,02;0,66;Alerta
-6,28;0,44;Estable
0,00;0,42;Estable
0,00;0,79;Estable
0,00;0,84;Estable
0,79;0,75;Alerta
0,02;0,68;Alerta
0,02;0,86;Alarma
-4,62;0,66;Estable
0,01;0,39;Estable
0,02;0,60;Estable
0,00;0,67;Estable
0,00;0,66;Estable
7,17;0,77;Alerta
0,00;0,80;Estable
0,00;0,95;Estable
13,92;0,89;Alarma
0,00;0,69;Estable
0,00;0,77;Estable
0,00;0,98;Estable
1,82;0,74;Alerta
0,02;0,86;Alarma
0,01;0,78;Alerta
0,00;0,55;Estable
0,12;0,49;Estable
0,01;0,76;Alerta
0,00;0,76;Estable
0,00;0,78;Estable
0,33;0,14;Estable
0,02;0,92;Alerta
0,00;0,64;Estable
0,02;0,53;Estable
0,00;0,13;Estable
0,02;0,64;Estable
0,00;0,71;Estable
0,80;0,77;Alerta
0,00;0,73;Estable
0,00;0,43;Estable
0,00;0,76;Estable
0,67;0,77;Alerta
0,02;0,98;Alarma
-1,75;0,99;Estable
0,01;0,68;Alerta
0,02;0,95;Alarma
0,01;0,93;Alerta
0,02;0,85;Alerta
0,01;0,73;Alerta
0,00;0,70;Estable
0,00;0,45;Estable
-8,78;0,96;Estable
0,02;0,39;Estable
1,44;0,64;Estable
0,00;0,24;Estable
0,09;0,39;Estable
0,00;0,31;Estable
0,18;0,27;Estable
0,41;0,76;Alerta
0,00;0,89;Estable
0,00;1,00;Alerta
0,00;0,66;Estable
0,00;0,77;Estable
0,00;0,87;Alerta
0,01;0,56;Estable
0,00;0,04;Estable
19,97;0,88;Alarma
0,02;0,25;Estable
0,01;0,40;Estable
0,00;1,00;Estable
0,01;0,80;Alerta
0,00;0,73;Alerta
0,00;0,15;Estable
0,00;0,84;Estable
0,00;0,72;Estable
0,02;0,15;Estable
-13,15;0,97;Estable
0,00;0,89;Estable
0,00;0,68;Estable
0,00;0,35;Estable
21,56;0,93;Alarma
0,00;0,72;Alerta
0,00;0,84;Estable
0,62;0,71;Alerta
0,00;0,65;Estable
0,01;0,99;Alerta
0,02;0,63;Estable
0,00;0,22;Estable
0,00;0,21;Estable
0,01;0,88;Alerta
0,00;0,30;Estable
7,31;0,82;Alarma
0,00;0,57;Estable
0,02;0,51;Estable
0,00;0,11;Estable
0,01;0,98;Alerta
0,01;0,32;Estable
0,01;0,10;Estable
0,00;0,28;Estable
0,01;0,57;Estable
-20,99;0,34;Estable
0,00;0,81;Alerta
0,00;0,98;Estable
0,35;0,78;Alerta
14,86;0,73;Alerta
0,00;0,68;Estable
0,00;0,87;Estable
-15,58;0,90;Estable
0,00;0,83;Alerta
0,00;0,67;Estable
-15,62;0,77;Estable
0,00;0,82;Estable
0,00;0,22;Estable
0,00;0,65;Estable
0,00;0,33;Estable
0,42;0,71;Alerta
0,00;0,70;Estable
0,01;0,97;Alerta
0,02;0,13;Estable
0,93;0,81;Alarma
-21,45;0,31;Estable
0,00;0,88;Estable
0,02;0,73;Alerta
0,02;0,46;Estable
0,02;0,55;Estable
0,98;0,67;Alerta
19,73;0,87;Alarma
0,50;0,77;Alerta
0,36;0,75;Alerta
0,09;0,71;Alerta
0,00;0,85;Estable
0,01;0,52;Estable
0,00;0,83;Alerta
0,00;0,77;Estable
0,01;0,84;Alerta
0,00;1,00;Estable
0,00;0,62;Estable
0,02;0,69;Alerta
-24,46;0,76;Estable
0,35;0,80;Alerta
0,01;0,01;Estable
0,00;0,70;Alerta
0,02;0,67;Alerta
19,56;0,65;Alerta
0,00;0,70;Estable
0,00;0,73;Estable
-3,57;0,84;Estable
0,87;0,66;Alerta
0,01;0,73;Alerta
0,01;0,95;Alerta
0,00;0,76;Estable
8,37;0,33;Estable
0,00;0,52;Estable
0,00;0,82;Alerta
14,16;0,67;Alerta
0,02;0,57;Estable
1,97;0,85;Alarma
0,00;0,55;Estable
0,00;0,80;Estable
1,69;0,87;Alarma
0,02;0,77;Alerta
0,01;0,13;Estable
0,00;0,92;Estable
0,00;0,84;Estable
0,00;0,89;Estable
-10,53;0,85;Estable
-20,90;0,93;Estable
0,01;0,36;Estable
-10,75;0,65;Estable
0,63;0,98;Alarma
0,00;0,96;Estable
15,80;0,83;Alarma
-14,06;0,87;Estable
0,01;0,46;Estable
0,00;0,78;Estable
0,23;0,94;Alarma
0,02;0,70;Alerta
15,63;0,89;Alarma
-16,71;0,88;Estable
0,00;0,80;Estable
0,02;0,98;Alerta
0,00;0,18;Estable
13,90;0,97;Alarma
8,80;0,72;Alerta
0,02;0,72;Alerta
-23,88;0,83;Estable
7,33;0,93;Alarma
-15,13;0,65;Estable
0,64;0,19;Estable
0,44;0,66;Alerta
0,02;0,85;Alerta
0,00;0,80;Alerta
0,00;0,95;Estable
0,60;0,13;Estable
4,74;0,95;Alarma
0,01;0,98;Alerta
-24,35;0,52;Estable
0,00;0,83;Alerta
-13,56;0,45;Estable
0,02;0,31;Estable
-2,36;0,77;Estable
0,02;0,99;Alarma
12,19;0,88;Alarma
0,00;0,72;Estable
0,00;0,84;Alerta
14,69;0,99;Alarma
0,02;0,82;Alarma
0,00;0,53;Estable
0,02;0,32;Estable
0,00;0,87;Alerta
0,02;0,41;Estable
0,88;0,89;Alarma
0,31;0,93;Alarma
0,22;0,72;Alerta
0,40;0,74;Alerta
0,06;0,64;Estable
0,00;0,82;Estable
0,00;0,96;Estable
0,00;0,90;Alerta
0,02;0,74;Alerta
4,20;0,22;Estable
0,00;0,73;Estable
0,00;0,72;Alerta
0,00;0,64;Estable
0,02;0,16;Estable
0,00;0,83;Estable
0,01;0,08;Estable
0,02;0,73;Alerta
0,02;0,87;Alarma
0,50;0,68;Alerta
0,02;0,67;Alerta
0,01;0,74;Alerta
0,00;0,61;Estable
0,00;0,95;Estable
0,00;0,65;Estable
0,00;0,73;Estable
0,01;0,84;Alerta
0,01;0,73;Alerta
0,00;0,79;Estable
0,00;0,96;Estable
0,02;0,64;Estable
0,00;0,25;Estable
0,01;0,98;Alerta
0,00;0,78;Estable
0,02;0,65;Estable
0,00;0,64;Estable
0,88;0,72;Alerta
0,00;0,41;Estable
0,02;0,82;Alerta
0,00;0,64;Estable
0,00;0,30;Estable
0,00;0,52;Estable
0,00;0,63;Estable
0,02;0,79;Alerta
8,37;0,74;Alerta
0,01;0,70;Alerta
0,00;0,32;Estable
5,40;0,79;Alerta
0,00;0,71;Estable
0,00;0,40;Estable
0,57;0,93;Alarma
24,12;0,94;Alarma
0,72;0,58;Estable
0,00;0,44;Estable
0,02;0,78;Alerta
0,00;0,99;Alerta
0,00;0,30;Estable
0,02;0,86;Alarma
0,00;0,66;Estable
0,02;0,40;Estable
0,71;0,67;Alerta
0,00;0,91;Estable
0,00;0,82;Alerta
-23,83;0,78;Estable
0,02;0,77;Alerta
0,02;0,84;Alarma
0,02;0,99;Alarma
0,00;0,52;Estable
-13,46;0,75;Estable
0,01;0,65;Alerta
-20,41;0,72;Estable
0,01;0,90;Alerta
0,00;0,89;Alerta
0,05;0,71;Alerta
0,02;0,32;Estable
0,00;0,76;Estable
0,00;0,95;Alerta
0,01;0,04;Estable
0,00;0,95;Estable
0,01;0,68;Alerta
-6,62;0,73;Estable
-22,05;0,76;Estable
3,83;0,82;Alarma
13,89;0,98;Alarma
0,02;0,95;Alarma
-9,73;0,71;Estable
0,58;0,70;Alerta
0,88;0,70;Alerta
0,01;0,86;Alerta
0,01;0,73;Alerta
0,01;0,28;Estable
0,02;0,89;Alerta
0,02;0,79;Alerta
0,80;0,59;Estable
0,00;0,97;Estable
0,00;0,86;Alerta
0,02;0,74;Alerta
0,02;0,85;Alerta
0,02;0,79;Alerta
-12,49;0,79;Estable
12,61;0,63;Estable
1,00;0,52;Estable
0,02;0,98;Alarma
0,00;0,26;Estable
0,00;0,72;Estable
0,02;0,23;Estable
0,00;0,81;Estable
0,01;0,45;Estable
0,00;0,62;Estable
0,00;0,58;Estable
0,02;0,80;Alerta
0,02;0,64;Estable
0,00;0,66;Estable
0,00;0,42;Estable
0,01;0,35;Estable
-5,21;0,78;Estable
0,01;0,97;Alerta
0,01;0,84;Alerta
0,40;0,74;Alerta
0,01;0,58;Estable
-22,88;0,81;Estable
0,19;0,26;Estable
11,30;0,80;Alerta
0,00;0,22;Estable
0,02;0,27;Estable
0,64;0,68;Alerta
0,01;0,68;Alerta
0,00;0,70;Estable
0,00;0,58;Estable
-7,97;0,25;Estable
